alpha.true,beta.true,n,mcc_fail_rate,rmse_Kout_alpha,rmse_MLE_alpha,rmse_McC_alpha,rmse_WLS_k10_alpha,rmse_WLS_k16_alpha,rmse_WLS_k5_alpha,rmse_trim_Kout_alpha,rmse_trim_MLE_alpha,rmse_trim_McC_alpha,rmse_trim_WLS_k10_alpha,rmse_trim_WLS_k16_alpha,rmse_trim_WLS_k5_alpha
1.2,1,250,0.000,0.099,0.073,0.115,0.108,0.103,0.121,0.086,0.066,0.101,0.096,0.092,0.108
1.2,1,500,0.000,0.068,0.052,0.080,0.077,0.074,0.089,0.059,0.046,0.068,0.068,0.065,0.077
1.2,1,1000,0.000,0.047,0.038,0.059,0.055,0.052,0.064,0.041,0.033,0.050,0.048,0.046,0.057
1.4,0,250,0.002,0.111,0.099,0.127,0.105,0.102,0.118,0.095,0.085,0.109,0.090,0.087,0.103
1.4,0,500,0.000,0.078,0.070,0.086,0.075,0.076,0.082,0.068,0.058,0.073,0.066,0.066,0.073
1.4,0,1000,0.000,0.050,0.047,0.065,0.053,0.052,0.059,0.043,0.040,0.054,0.047,0.045,0.051
1.4,0.75,250,0.000,0.114,0.087,0.134,0.116,0.111,0.130,0.099,0.074,0.117,0.101,0.098,0.115
1.4,0.75,500,0.000,0.074,0.065,0.099,0.080,0.077,0.095,0.065,0.056,0.088,0.070,0.067,0.082
1.4,0.75,1000,0.000,0.050,0.045,0.075,0.056,0.054,0.065,0.044,0.039,0.066,0.049,0.047,0.058
1.4,1,250,0.009,0.113,0.073,0.123,0.119,0.115,0.135,0.100,0.066,0.106,0.104,0.101,0.118
1.4,1,500,0.000,0.077,0.057,0.089,0.085,0.080,0.098,0.067,0.050,0.076,0.075,0.071,0.086
1.4,1,1000,0.000,0.054,0.041,0.068,0.061,0.057,0.073,0.047,0.036,0.058,0.054,0.050,0.064
1.6,0,250,0.030,0.104,0.113,0.139,0.112,0.107,0.126,0.092,0.100,0.124,0.099,0.093,0.112
1.6,0,500,0.004,0.069,0.067,0.099,0.075,0.071,0.089,0.061,0.059,0.086,0.065,0.063,0.078
1.6,0,1000,0.000,0.053,0.050,0.076,0.055,0.054,0.069,0.046,0.042,0.065,0.049,0.047,0.060
1.6,0.75,250,0.033,0.103,0.084,0.126,0.114,0.110,0.134,0.090,0.073,0.109,0.101,0.097,0.120
1.6,0.75,500,0.013,0.072,0.068,0.094,0.081,0.077,0.100,0.062,0.058,0.082,0.070,0.066,0.087
1.6,0.75,1000,0.000,0.054,0.051,0.075,0.060,0.056,0.070,0.047,0.045,0.066,0.052,0.050,0.062
1.6,1,250,0.046,0.106,0.084,0.126,0.125,0.118,0.147,0.093,0.072,0.108,0.110,0.104,0.130
1.6,1,500,0.009,0.072,0.053,0.089,0.087,0.080,0.101,0.062,0.045,0.076,0.076,0.069,0.091
1.6,1,1000,0.000,0.054,0.041,0.066,0.062,0.058,0.075,0.047,0.034,0.056,0.055,0.051,0.066
1.8,0,250,0.192,0.087,0.092,,0.112,0.106,0.143,0.076,0.083,,0.099,0.094,0.126
1.8,0,500,0.114,0.065,0.067,,0.079,0.072,0.100,0.056,0.059,,0.068,0.062,0.087
1.8,0,1000,0.051,0.050,0.049,0.084,0.058,0.052,0.076,0.044,0.043,0.076,0.051,0.046,0.067
1.8,0.75,250,0.198,0.091,0.088,,0.123,0.113,0.155,0.080,0.079,,0.108,0.100,0.135
1.8,0.75,500,0.145,0.064,0.057,,0.080,0.073,0.108,0.055,0.049,,0.071,0.065,0.095
1.8,0.75,1000,0.056,0.048,0.042,0.073,0.059,0.054,0.078,0.042,0.036,0.063,0.052,0.047,0.069
1.8,1,250,0.211,0.091,0.070,,0.122,0.113,0.150,0.079,0.061,,0.107,0.099,0.131
1.8,1,500,0.150,0.063,0.048,,0.080,0.073,0.107,0.055,0.042,,0.070,0.064,0.093
1.8,1,1000,0.066,0.048,0.039,0.075,0.058,0.054,0.077,0.043,0.034,0.064,0.051,0.047,0.067
1.95,0,250,0.457,0.061,0.046,,0.110,0.100,0.154,0.050,0.039,,0.098,0.089,0.136
1.95,0,500,0.420,0.045,0.040,,0.077,0.068,0.109,0.039,0.034,,0.068,0.060,0.096
1.95,0,1000,0.397,0.034,0.028,,0.055,0.046,0.082,0.030,0.025,,0.048,0.041,0.072
1.95,0.75,250,0.433,0.060,0.051,,0.116,0.104,0.157,0.051,0.043,,0.102,0.091,0.137
1.95,0.75,500,0.421,0.045,0.039,,0.077,0.067,0.112,0.039,0.033,,0.069,0.060,0.099
1.95,0.75,1000,0.415,0.035,0.029,,0.056,0.047,0.082,0.031,0.025,,0.049,0.041,0.072
1.95,1,250,0.433,0.065,0.056,,0.121,0.109,0.164,0.055,0.047,,0.107,0.097,0.145
1.95,1,500,0.419,0.046,0.038,,0.076,0.066,0.113,0.040,0.032,,0.066,0.057,0.099
1.95,1,1000,0.402,0.035,0.025,,0.053,0.045,0.083,0.031,0.022,,0.047,0.039,0.072
