alpha.true,beta.true,n,mcc_fail_rate,rmse_Kout_sigma,rmse_MLE_sigma,rmse_McC_sigma,rmse_WLS_k10,rmse_WLS_k16,rmse_WLS_k5,rmse_trim_Kout_sigma,rmse_trim_MLE_sigma,rmse_trim_McC_sigma,rmse_trim_WLS_k10,rmse_trim_WLS_k16,rmse_trim_WLS_k5
1.2,1,250,0.000,0.088,0.064,0.116,0.101,0.095,0.116,0.076,0.056,0.093,0.086,0.082,0.098
1.2,1,500,0.000,0.058,0.046,0.075,0.068,0.065,0.079,0.051,0.040,0.060,0.059,0.057,0.068
1.2,1,1000,0.000,0.040,0.032,0.056,0.048,0.046,0.057,0.035,0.028,0.045,0.041,0.040,0.049
1.4,0,250,0.002,0.066,0.057,0.077,0.067,0.064,0.077,0.056,0.049,0.066,0.055,0.053,0.065
1.4,0,500,0.000,0.045,0.039,0.051,0.046,0.046,0.051,0.039,0.034,0.042,0.039,0.039,0.044
1.4,0,1000,0.000,0.029,0.027,0.038,0.032,0.030,0.036,0.025,0.023,0.031,0.027,0.026,0.030
1.4,0.75,250,0.000,0.067,0.052,0.085,0.076,0.072,0.086,0.058,0.043,0.069,0.063,0.060,0.072
1.4,0.75,500,0.000,0.043,0.038,0.059,0.050,0.048,0.059,0.038,0.033,0.051,0.042,0.040,0.050
1.4,0.75,1000,0.000,0.029,0.027,0.043,0.034,0.032,0.039,0.025,0.023,0.038,0.029,0.028,0.034
1.4,1,250,0.009,0.067,0.043,0.085,0.078,0.074,0.088,0.058,0.038,0.068,0.065,0.063,0.074
1.4,1,500,0.000,0.044,0.034,0.057,0.051,0.049,0.060,0.039,0.030,0.047,0.045,0.042,0.051
1.4,1,1000,0.000,0.031,0.024,0.043,0.037,0.034,0.044,0.027,0.021,0.035,0.032,0.029,0.038
1.6,0,250,0.030,0.044,0.047,0.061,0.052,0.050,0.058,0.038,0.042,0.053,0.045,0.042,0.050
1.6,0,500,0.004,0.029,0.029,0.041,0.033,0.032,0.039,0.025,0.025,0.036,0.029,0.027,0.034
1.6,0,1000,0.000,0.022,0.021,0.031,0.024,0.023,0.030,0.019,0.018,0.027,0.021,0.020,0.026
1.6,0.75,250,0.033,0.043,0.035,0.059,0.053,0.051,0.063,0.037,0.031,0.048,0.045,0.043,0.054
1.6,0.75,500,0.013,0.030,0.029,0.041,0.036,0.034,0.044,0.026,0.025,0.035,0.030,0.028,0.037
1.6,0.75,1000,0.000,0.023,0.022,0.032,0.026,0.024,0.030,0.020,0.019,0.028,0.022,0.021,0.026
1.6,1,250,0.046,0.044,0.036,0.062,0.059,0.055,0.069,0.038,0.031,0.050,0.049,0.046,0.058
1.6,1,500,0.009,0.030,0.023,0.041,0.038,0.035,0.045,0.026,0.019,0.034,0.033,0.030,0.039
1.6,1,1000,0.000,0.022,0.017,0.030,0.027,0.025,0.032,0.019,0.014,0.025,0.023,0.022,0.028
1.8,0,250,0.192,0.028,0.029,,0.039,0.037,0.049,0.024,0.026,,0.034,0.032,0.042
1.8,0,500,0.114,0.021,0.021,,0.026,0.024,0.033,0.018,0.018,,0.022,0.020,0.028
1.8,0,1000,0.051,0.016,0.016,0.027,0.019,0.017,0.024,0.014,0.014,0.024,0.016,0.015,0.021
1.8,0.75,250,0.198,0.029,0.028,,0.043,0.040,0.055,0.025,0.025,,0.037,0.034,0.046
1.8,0.75,500,0.145,0.020,0.019,,0.027,0.024,0.036,0.017,0.015,,0.023,0.021,0.031
1.8,0.75,1000,0.056,0.015,0.013,0.025,0.019,0.017,0.025,0.013,0.011,0.020,0.017,0.015,0.022
1.8,1,250,0.211,0.030,0.022,,0.043,0.040,0.053,0.025,0.019,,0.036,0.033,0.044
1.8,1,500,0.150,0.020,0.015,,0.026,0.024,0.035,0.017,0.013,,0.023,0.021,0.030
1.8,1,1000,0.066,0.015,0.012,0.026,0.019,0.018,0.025,0.013,0.011,0.021,0.016,0.015,0.022
1.95,0,250,0.457,0.017,0.012,,0.031,0.029,0.044,0.013,0.010,,0.027,0.025,0.037
1.95,0,500,0.420,0.012,0.011,,0.021,0.019,0.030,0.010,0.009,,0.018,0.016,0.026
1.95,0,1000,0.397,0.009,0.007,,0.015,0.012,0.022,0.008,0.006,,0.013,0.011,0.019
1.95,0.75,250,0.433,0.016,0.014,,0.033,0.030,0.046,0.014,0.011,,0.029,0.026,0.038
1.95,0.75,500,0.421,0.012,0.010,,0.021,0.018,0.031,0.010,0.009,,0.019,0.016,0.026
1.95,0.75,1000,0.415,0.009,0.007,,0.015,0.013,0.022,0.008,0.006,,0.013,0.011,0.019
1.95,1,250,0.433,0.018,0.015,,0.035,0.031,0.048,0.015,0.013,,0.030,0.027,0.041
1.95,1,500,0.419,0.012,0.010,,0.021,0.018,0.031,0.011,0.008,,0.018,0.015,0.027
1.95,1,1000,0.402,0.009,0.007,,0.014,0.012,0.022,0.008,0.006,,0.012,0.010,0.019
